Geneid	/home/jvtars/ipe/bam_files/SRR11144483.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144484.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144485.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144486.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144481.sorted.bam	/home/jvtars/ipe/bam_files/SRR11144482.sorted.bam
CDL12_00269	0	0	0	0	0	0
CDL12_00270	0	0	0	0	0	0
CDL12_00271	271	208	282	263	623	349
CDL12_00272	0	1	0	0	2	0
CDL12_00273	35	48	75	39	171	20
CDL12_00275	26	11	25	78	167	15
CDL12_00276	7	6	6	21	21	8
CDL12_00277	136	123	190	419	322	112
CDL12_00278	30869	29663	58043	64439	103571	41058
CDL12_00279	20824	22385	38170	43814	76907	25258
CDL12_00280	16	67	53	231	630	157
CDL12_00281	290	134	304	253	1316	542
CDL12_00282	52	21	38	28	68	68
CDL12_00283	106	140	96	273	95	99
CDL12_00284	11	2	10	6	77	0
CDL12_00285	6	4	17	0	37	1
CDL12_00286	717	513	882	645	1678	755
CDL12_00287	2903	2407	26768	8144	4035	939
CDL12_00288	116	0	10	45	3	17
CDL12_00289	447	909	1475	4	149	0
CDL12_00290	4	8	25	0	2	11
CDL12_00291	813	1625	5525	2281	1513	5746
CDL12_00292	435	220	603	444	1482	521
CDL12_00293	555	314	680	649	1659	631
CDL12_00294	94566	106683	137400	135713	347928	46780
CDL12_00295	0	0	2	0	0	0
CDL12_00296	0	0	0	0	0	0
CDL12_00297	2	6	0	0	0	0
CDL12_00298	123	94	252	245	295	119
CDL12_00299	0	0	0	0	0	0
CDL12_00300	625	555	666	606	1363	774
CDL12_00301	411	361	503	460	635	329
CDL12_00302	9	2	3	58	5	4
CDL12_00303	660	706	775	901	1232	941
CDL12_00304	967	499	1301	616	1394	562
CDL12_00305	1206	1522	2004	805	1822	595
CDL12_00306	1051	1121	1853	2201	3393	2001
CDL12_00307	27	21	254	2	89	0
CDL12_00308	1310	1305	1925	1781	3485	2113
CDL12_00309	1064	766	1395	1097	1439	1404
CDL12_00310	153	677	743	342	1088	254
CDL12_00311	2	48	112	0	24	4
CDL12_00312	0	0	0	0	0	0
CDL12_00313	1	0	4	0	0	0
CDL12_00314	4970	3799	6867	5564	14548	3601
CDL12_00315	5	10	15	0	22	18
CDL12_00316	2	0	2	17	1	1
CDL12_00317	0	0	0	0	0	0
CDL12_00318	278	164	287	764	1664	2098
CDL12_00319	19	49	35	7	83	33
CDL12_00320	128	288	373	503	230	112
CDL12_00321	161	109	220	75	456	83
CDL12_00323	732	326	3980	2	1371	163
CDL12_00324	0	0	0	0	0	0
CDL12_00325	2125	3156	5375	7	20807	2640
CDL12_00326	8	30	33	45	43	21
CDL12_00327	226	337	434	342	377	314
CDL12_00328	5512	3889	5604	9170	8363	1295
CDL12_00329	1005	361	513	478	2130	227
CDL12_00330	694	471	1034	448	792	618
CDL12_00331	7	15	0	0	0	0
CDL12_00332	387	487	499	682	2791	875
CDL12_00333	78	86	93	176	207	82
CDL12_00334	0	0	0	0	2	0
CDL12_00335	1737	1566	1358	1455	5745	1650
CDL12_00336	1184	1558	1096	1081	2887	1616
CDL12_00337	2	3	2	2	0	1
CDL12_00338	3	21	30	58	18	89
CDL12_00339	180	192	762	787	2750	336
CDL12_00340	120	651	530	348	386	134
CDL12_00341	0	0	0	5	2	19
CDL12_00342	0	0	0	2	0	0
CDL12_00343	41	2	51	0	82	12
CDL12_00344	0	0	0	0	0	0
CDL12_00345	0	0	0	0	0	0
CDL12_00346	7	15	74	139	132	297
CDL12_00347	23	0	0	0	0	0
CDL12_00348	5	0	2	0	0	8
CDL12_00349	52	48	103	10	32	6
CDL12_00350	0	2	0	0	0	1
CDL12_00351	0	0	0	0	0	0
CDL12_00352	0	0	0	0	0	0
CDL12_00353	0	0	0	0	0	0
CDL12_00354	0	0	0	0	0	0
CDL12_00355	0	0	0	0	0	0
CDL12_00356	2	2	0	2	0	2
CDL12_00357	202	106	335	193	265	137
